,Frame,Num_detections,Yolo_det,sort_tracks,sort_track_nums,iou_RFID,read_outs
82,82,2,"[[13, 116, 98, 248, 0.9837], [437, 127, 505, 264, 0.9475]]","[[434, 124, 508, 257, 2], [12, 118, 98, 244, 1]]","[2, 1]",{},{}
83,83,2,"[[13, 118, 97, 245, 0.996], [440, 141, 507, 283, 0.9326]]","[[436, 138, 509, 273, 2], [12, 118, 97, 244, 1]]","[2, 1]",{},{}
84,84,2,"[[440, 146, 508, 298, 0.9988], [12, 117, 98, 245, 0.9955]]","[[438, 149, 509, 287, 2], [12, 117, 97, 244, 1]]","[2, 1]",{},{}
85,85,2,"[[448, 149, 506, 307, 0.9993], [15, 118, 96, 244, 0.9973]]","[[442, 155, 510, 298, 2], [13, 117, 97, 244, 1]]","[2, 1]",{},{}
86,86,2,"[[448, 158, 504, 299, 0.9998], [17, 117, 95, 247, 0.9972]]","[[444, 159, 508, 301, 2], [14, 118, 96, 245, 1]]","[2, 1]",{},{}
87,87,2,"[[436, 172, 512, 300, 0.9996], [18, 119, 93, 245, 0.999]]","[[441, 167, 508, 304, 2], [15, 118, 95, 245, 1]]","[2, 1]",{},{}
88,88,2,"[[445, 159, 505, 298, 0.9999], [15, 119, 97, 243, 0.9993]]","[[442, 164, 507, 301, 2], [15, 118, 96, 244, 1]]","[2, 1]",{},{}
89,89,2,"[[448, 162, 505, 296, 0.9995], [15, 119, 96, 242, 0.9994]]","[[445, 164, 507, 300, 2], [15, 118, 95, 243, 1]]","[2, 1]",{},{}
90,90,2,"[[448, 162, 504, 297, 0.9998], [14, 117, 96, 243, 0.9879]]","[[446, 164, 506, 299, 2], [14, 117, 95, 242, 1]]","[2, 1]",{},{}
91,91,2,"[[450, 159, 503, 298, 0.9994], [13, 119, 97, 242, 0.9844]]","[[447, 163, 505, 299, 2], [14, 118, 95, 242, 1]]","[2, 1]",{},{}
92,92,2,"[[429, 170, 512, 304, 0.9978], [13, 117, 98, 247, 0.9964]]","[[440, 168, 505, 303, 2], [13, 118, 96, 244, 1]]","[2, 1]",{},{}
93,93,2,"[[13, 118, 98, 243, 0.9984], [447, 157, 502, 300, 0.9952]]","[[443, 164, 505, 300, 2], [13, 117, 97, 243, 1]]","[2, 1]",{},{}
94,94,2,"[[446, 158, 503, 299, 0.9986], [14, 117, 96, 245, 0.9975]]","[[444, 162, 504, 299, 2], [13, 117, 96, 244, 1]]","[2, 1]",{},{}
95,95,2,"[[446, 157, 503, 300, 0.9987], [15, 117, 96, 247, 0.9985]]","[[444, 161, 504, 299, 2], [14, 117, 96, 245, 1]]","[2, 1]",{},{}
96,96,2,"[[15, 117, 96, 245, 0.9994], [447, 160, 503, 296, 0.9977]]","[[445, 161, 504, 298, 2], [14, 117, 96, 245, 1]]","[2, 1]",{},{}
97,97,2,"[[18, 117, 94, 247, 0.9997], [446, 160, 504, 298, 0.9982]]","[[446, 161, 504, 298, 2], [15, 117, 95, 245, 1]]","[2, 1]",{},{}
98,98,2,"[[15, 119, 96, 245, 0.9979], [446, 159, 504, 298, 0.9962]]","[[446, 161, 504, 298, 2], [15, 118, 95, 245, 1]]","[2, 1]",{},{}
99,99,2,"[[446, 157, 504, 301, 0.9961], [14, 115, 97, 250, 0.9831]]","[[446, 160, 504, 299, 2], [14, 117, 96, 247, 1]]","[2, 1]",{},{}
100,100,2,"[[14, 118, 96, 245, 0.995], [446, 154, 503, 302, 0.9947]]","[[446, 158, 503, 299, 2], [14, 117, 95, 246, 1]]","[2, 1]",{},{}
101,101,2,"[[15, 117, 95, 245, 0.9989], [448, 155, 502, 301, 0.9952]]","[[446, 158, 503, 299, 2], [14, 116, 95, 245, 1]]","[2, 1]",{},{}
102,102,2,"[[447, 156, 503, 302, 0.9976], [14, 116, 97, 246, 0.9952]]","[[447, 158, 503, 300, 2], [14, 116, 96, 245, 1]]","[2, 1]",{},{}
103,103,2,"[[447, 157, 504, 297, 0.9988], [13, 122, 94, 239, 0.9982]]","[[447, 157, 503, 298, 2], [13, 117, 94, 243, 1]]","[2, 1]",{},{}
104,104,2,"[[15, 118, 96, 245, 0.9982], [445, 153, 504, 301, 0.9977]]","[[446, 156, 503, 299, 2], [14, 118, 95, 244, 1]]","[2, 1]",{},{}
105,105,2,"[[17, 118, 94, 245, 0.9993], [446, 151, 503, 305, 0.9969]]","[[446, 155, 503, 300, 2], [15, 118, 95, 244, 1]]","[2, 1]",{},{}
106,106,2,"[[445, 149, 503, 304, 0.9972], [14, 115, 97, 247, 0.9968]]","[[445, 153, 502, 301, 2], [14, 117, 95, 245, 1]]","[2, 1]",{},{}
107,107,2,"[[446, 157, 503, 298, 0.9991], [15, 115, 98, 247, 0.9965]]","[[446, 155, 502, 300, 2], [15, 116, 96, 245, 1]]","[2, 1]",{},{}
108,108,2,"[[446, 153, 502, 301, 0.9984], [21, 116, 102, 245, 0.9946]]","[[445, 154, 502, 300, 2], [18, 116, 100, 245, 1]]","[2, 1]",{},{}
